                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.95071,                0.44635,                 1.2647,                0.99958,                0.98529,                0.98927,                 0.6959,                 1.1804,                0.38735,                 1.4515,              0.0086932,              0.0086932,              0.0086932
                     35,                0.94005,                0.43629,                 1.2532,                0.99963,                0.98529,                0.98717,                 0.6983,                 1.1161,                0.38162,                 1.3861,              0.0086536,              0.0086536,              0.0086536
                     36,                0.93362,                0.43395,                 1.2528,                0.99956,                0.98529,                0.98856,                0.70048,                 1.1535,                0.39985,                 1.4693,               0.008614,               0.008614,               0.008614
                     37,                0.91156,                0.42702,                  1.234,                0.96344,                0.74632,                0.89657,                0.62337,                 1.2981,                0.95653,                 1.4829,              0.0085744,              0.0085744,              0.0085744
                     38,                0.92052,                0.42799,                 1.2371,                0.99974,                0.98529,                 0.9909,                0.70402,                 1.1461,                0.37793,                 1.4455,              0.0085348,              0.0085348,              0.0085348
                     39,                0.92026,                0.41442,                 1.2409,                 0.9997,                0.98529,                0.98844,                0.72502,                 1.0549,                0.36528,                 1.3562,              0.0084952,              0.0084952,              0.0084952
                     40,                0.92691,                0.42785,                 1.2364,                0.99784,                0.98529,                 0.9887,                0.70228,                 1.1592,                0.39249,                 1.4741,              0.0084556,              0.0084556,              0.0084556
                     41,                0.90149,                0.42938,                 1.2198,                      1,                0.98516,                0.98925,                0.69704,                 1.1774,                0.39518,                 1.4579,               0.008416,               0.008416,               0.008416
                     42,                0.90502,                0.41902,                 1.2358,                0.99977,                0.98529,                0.99012,                0.71781,                 1.1195,                0.37474,                 1.5129,              0.0083764,              0.0083764,              0.0083764
                     43,                0.90553,                0.41658,                 1.2366,                0.99596,                0.98529,                0.99013,                0.72921,                  1.105,                0.37702,                 1.4598,              0.0083368,              0.0083368,              0.0083368
                     44,                0.88613,                 0.4084,                  1.224,                0.99914,                0.98529,                0.99039,                0.71029,                 1.1221,                0.37397,                 1.4579,              0.0082972,              0.0082972,              0.0082972
                     45,                0.89688,                0.40959,                 1.2291,                0.99894,                0.98529,                0.98971,                0.72819,                  1.065,                0.36606,                 1.3568,              0.0082576,              0.0082576,              0.0082576
                     46,                0.87753,                0.40692,                 1.1973,                 0.9888,                0.97374,                0.98543,                0.72222,                 1.0339,                0.38259,                  1.374,               0.008218,               0.008218,               0.008218
                     47,                0.87259,                 0.4029,                 1.2053,                0.97795,                 0.9375,                0.97514,                0.64498,                 1.3375,                0.51697,                 1.5865,              0.0081784,              0.0081784,              0.0081784
                     48,                0.87809,                0.40279,                 1.1982,                0.99611,                0.98529,                0.99001,                0.70265,                 1.1685,                0.38002,                 1.4294,              0.0081388,              0.0081388,              0.0081388
                     49,                0.87892,                0.40492,                 1.2096,                0.99953,                0.98162,                0.99013,                0.72356,                 1.0605,                0.38321,                 1.3742,              0.0080992,              0.0080992,              0.0080992
                     50,                0.86751,                0.40324,                 1.2101,                0.99958,                0.98529,                0.98705,                0.71053,                 1.0391,                0.36473,                 1.3673,              0.0080596,              0.0080596,              0.0080596
                     51,                0.86494,                0.39878,                 1.1898,                0.99973,                0.98529,                0.98845,                0.72625,                 1.0341,                0.34818,                 1.3063,                0.00802,                0.00802,                0.00802
                     52,                0.86068,                0.39881,                 1.1949,                0.99971,                0.98162,                0.98987,                0.69139,                 1.2116,                0.38742,                 1.4719,              0.0079804,              0.0079804,              0.0079804
                     53,                0.84683,                0.38724,                 1.1907,                0.99611,                0.98529,                0.98939,                0.73406,                 1.0707,                0.38484,                 1.3919,              0.0079408,              0.0079408,              0.0079408
                     54,                0.84108,                0.39428,                 1.1926,                0.99965,                0.98529,                0.98662,                0.69493,                  1.162,                0.37547,                 1.5287,              0.0079012,              0.0079012,              0.0079012
                     55,                0.83928,                  0.397,                 1.2002,                0.99605,                0.98529,                0.99079,                0.72377,                 1.1391,                0.37974,                 1.4211,              0.0078616,              0.0078616,              0.0078616
                     56,                0.82694,                0.38541,                  1.177,                0.99964,                0.98529,                0.98965,                0.72512,                 1.1213,                0.38353,                 1.5012,               0.007822,               0.007822,               0.007822
                     57,                0.82281,                0.37842,                 1.1744,                0.99959,                0.98529,                0.98875,                0.70353,                 1.1207,                0.37117,                 1.5073,              0.0077824,              0.0077824,              0.0077824
                     58,                0.81909,                0.37847,                 1.1772,                0.99969,                0.98529,                0.99033,                 0.7106,                 1.1927,                0.41829,                 1.6031,              0.0077428,              0.0077428,              0.0077428
                     59,                 0.8132,                0.37734,                  1.165,                0.99986,                0.98529,                0.99079,                  0.722,                 1.1355,                0.36703,                 1.4725,              0.0077032,              0.0077032,              0.0077032
                     60,                0.80218,                  0.373,                 1.1545,                      1,                 0.9842,                0.99088,                 0.7136,                 1.1218,                0.37532,                  1.409,              0.0076636,              0.0076636,              0.0076636
                     61,                0.80164,                0.37385,                  1.163,                0.99966,                0.98162,                 0.9889,                0.71248,                 1.0986,                0.36997,                 1.4779,               0.007624,               0.007624,               0.007624
                     62,                0.80648,                0.37173,                 1.1641,                0.99957,                0.98529,                0.98894,                0.73236,                 1.0515,                 0.3743,                 1.5179,              0.0075844,              0.0075844,              0.0075844
                     63,                  0.798,                0.36981,                 1.1537,                0.99891,                0.98529,                0.99056,                0.72303,                 1.1453,                0.37484,                 1.5842,              0.0075448,              0.0075448,              0.0075448
                     64,                0.79938,                0.37533,                  1.163,                0.99938,                0.98529,                0.98749,                0.71983,                 1.1053,                0.34602,                 1.4221,              0.0075052,              0.0075052,              0.0075052
                     65,                0.78375,                0.36754,                 1.1403,                0.99628,                0.98523,                0.99103,                0.72165,                 1.1601,                0.35947,                 1.4488,              0.0074656,              0.0074656,              0.0074656
                     66,                0.76177,                0.35362,                 1.1392,                0.99827,                0.98529,                0.99077,                0.72335,                 1.1325,                0.36472,                 1.5343,               0.007426,               0.007426,               0.007426
                     67,                0.77051,                0.36499,                 1.1365,                0.99961,                0.98529,                0.99131,                0.74872,                 1.0283,                0.34702,                 1.4442,              0.0073864,              0.0073864,              0.0073864
                     68,                0.78324,                 0.3636,                 1.1371,                      1,                0.98507,                0.99098,                0.73501,                 1.0661,                0.34232,                  1.393,              0.0073468,              0.0073468,              0.0073468
                     69,                0.75803,                0.35644,                 1.1188,                0.99628,                0.98453,                0.99064,                0.70662,                 1.1549,                0.35365,                 1.5214,              0.0073072,              0.0073072,              0.0073072
                     70,                0.76784,                0.36311,                 1.1487,                      1,                0.98528,                0.99092,                0.73329,                 1.0547,                0.35202,                 1.4952,              0.0072676,              0.0072676,              0.0072676
                     71,                0.74565,                0.35094,                 1.1219,                0.99973,                0.98529,                0.99088,                0.72088,                 1.1254,                0.35899,                 1.5195,               0.007228,               0.007228,               0.007228
                     72,                0.74944,                0.34334,                 1.1187,                 0.9985,                0.98529,                 0.9899,                0.72772,                 1.0199,                0.34423,                 1.4277,              0.0071884,              0.0071884,              0.0071884
                     73,                0.74104,                0.34249,                 1.1164,                0.99969,                0.98529,                0.99024,                0.71689,                 1.2125,                0.36761,                 1.5123,              0.0071488,              0.0071488,              0.0071488
                     74,                0.74578,                0.35688,                 1.1127,                 0.9997,                0.98529,                 0.9908,                0.72399,                 1.1034,                0.35701,                 1.4695,              0.0071092,              0.0071092,              0.0071092
                     75,                 0.7292,                0.35021,                 1.1116,                0.99977,                0.98529,                0.99135,                0.73197,                 1.0707,                0.36437,                 1.4876,              0.0070696,              0.0070696,              0.0070696
                     76,                0.71497,                0.34408,                 1.1093,                      1,                0.98486,                0.99062,                0.70726,                 1.1933,                0.37916,                 1.6061,                0.00703,                0.00703,                0.00703
                     77,                0.73256,                 0.3468,                 1.1231,                0.99966,                0.98529,                 0.9909,                 0.7393,                 1.0582,                0.35099,                 1.5283,              0.0069904,              0.0069904,              0.0069904
                     78,                0.74157,                 0.3511,                 1.1297,                0.99975,                0.98529,                0.99015,                0.72693,                 1.0764,                0.35502,                 1.4169,              0.0069508,              0.0069508,              0.0069508
                     79,                0.71562,                 0.3343,                 1.1021,                0.99645,                0.98529,                0.99012,                0.74133,                 1.0356,                0.33516,                 1.3754,              0.0069112,              0.0069112,              0.0069112
                     80,                0.72829,                0.34023,                 1.0963,                0.99894,                0.98529,                0.98931,                0.73442,                 1.0802,                 0.3467,                 1.4165,              0.0068716,              0.0068716,              0.0068716
                     81,                0.71453,                0.33784,                 1.1086,                0.99945,                0.98529,                0.98957,                 0.7372,                 1.0218,                 0.3311,                 1.4957,               0.006832,               0.006832,               0.006832
                     82,                0.70662,                0.32898,                 1.0969,                0.99977,                0.98529,                0.98957,                0.73349,                 1.0377,                0.33879,                 1.4703,              0.0067924,              0.0067924,              0.0067924
                     83,                0.70723,                0.33588,                 1.0994,                0.99627,                0.98125,                0.98833,                0.69052,                 1.1969,                0.38007,                 1.5767,              0.0067528,              0.0067528,              0.0067528
                     84,                0.69828,                0.33355,                 1.0921,                      1,                0.98526,                0.99079,                0.71082,                 1.1509,                0.36223,                 1.5203,              0.0067132,              0.0067132,              0.0067132
                     85,                0.68906,                0.32703,                 1.0763,                0.99886,                0.98529,                0.99086,                0.74574,                 1.0197,                0.33215,                 1.4069,              0.0066736,              0.0066736,              0.0066736
                     86,                0.68848,                0.33163,                 1.0837,                0.99963,                0.98529,                0.98993,                0.71342,                  1.079,                0.34744,                 1.4926,               0.006634,               0.006634,               0.006634
                     87,                0.68683,                0.32572,                 1.0806,                0.99969,                0.98529,                0.99069,                 0.7177,                 1.0994,                0.34789,                 1.5209,              0.0065944,              0.0065944,              0.0065944
                     88,                0.69461,                0.32772,                 1.0913,                0.99821,                0.98529,                0.99057,                0.71497,                  1.111,                 0.3589,                 1.5711,              0.0065548,              0.0065548,              0.0065548
                     89,                0.67686,                0.31904,                 1.0815,                0.99951,                0.98529,                0.99079,                 0.7165,                 1.0863,                0.35443,                 1.5227,              0.0065152,              0.0065152,              0.0065152
                     90,                0.67926,                 0.3251,                 1.0831,                0.99978,                0.98529,                0.99135,                0.74068,                 1.0674,                0.34054,                  1.585,              0.0064756,              0.0064756,              0.0064756
                     91,                0.67982,                0.32184,                 1.0711,                0.99945,                0.98529,                0.98847,                0.71304,                 1.0809,                0.33565,                 1.4692,               0.006436,               0.006436,               0.006436
                     92,                 0.6645,                0.31457,                 1.0604,                0.99962,                0.98529,                0.98914,                0.72963,                 1.0564,                 0.3347,                 1.4518,              0.0063964,              0.0063964,              0.0063964
                     93,                 0.6652,                0.32128,                 1.0578,                      1,                0.98519,                0.98891,                 0.6985,                 1.1388,                0.34882,                 1.5106,              0.0063568,              0.0063568,              0.0063568
                     94,                0.66922,                0.31653,                 1.0633,                0.99975,                0.98529,                0.99101,                0.71683,                 1.0948,                0.34615,                 1.5163,              0.0063172,              0.0063172,              0.0063172
                     95,                0.65951,                0.31629,                 1.0674,                0.99705,                0.98529,                 0.9901,                0.71908,                 1.1058,                0.36315,                 1.6397,              0.0062776,              0.0062776,              0.0062776
